Crop,Crop_Year,Season,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,Severity Value,AVERAGE MEAN
Arhar/Tur,1997,Autumn,25621,6487,1496.6,2438350.57,7942.51,0.202777778,2,24.11
Arhar/Tur,1997,Summer,86559,16414,1496.6,8237820.03,26833.29,0.216785714,2,24.11
Arhar/Tur,1997,Winter,116553,23305,1496.6,11092349.01,36131.43,0.198928571,2,24.11
Groundnut,1997,Autumn,37462,34433,1496.6,3565258.54,11613.22,0.840434783,2,24.11
Groundnut,1997,Summer,39729,48815,1496.6,3781008.93,12315.99,1.211071429,2,24.11
Groundnut,1997,Winter,8157,8905,1496.6,776301.69,2528.67,0.884782609,2,24.11
Horse-gram,1997,Summer,952,253,1496.6,90601.84,295.12,0.274444444,2,24.11
Horse-gram,1997,Winter,114779,32809,1496.6,10923517.43,35581.49,0.303448276,2,24.11
Jute,1997,Autumn,92010,123210,1496.6,8756591.7,28523.1,1.215,2,24.11
Maize,1997,Autumn,51349,63331,1496.6,4886884.33,15918.19,0.812,2,24.11
Maize,1997,Summer,1164,978,1496.6,110777.88,360.84,0.945714286,2,24.11
Maize,1997,Winter,144,136,1496.6,13704.48,44.64,0.9925,2,24.11
Potato,1997,Whole Year,8887,87413,1496.6,845775.79,2754.97,8.774,2,24.11
Ragi,1997,Autumn,41987,26885,1496.6,3995902.79,13015.97,0.464615385,2,24.11
Ragi,1997,Summer,603,429,1496.6,57387.51,186.93,0.576153846,2,24.11
Ragi,1997,Winter,37191,19693,1496.6,3539467.47,11529.21,0.488125,2,24.11
Sesamum,1997,Autumn,7286,1626,1496.6,693408.62,2258.66,0.212352941,2,24.11
Sesamum,1997,Summer,16106,4065,1496.6,1532808.02,4992.86,0.259583333,2,24.11
Sesamum,1997,Winter,48551,8316,1496.6,4620598.67,15050.81,0.17,2,24.11
Sugarcane,1997,Winter,18682,1144012,1496.6,1777965.94,5791.42,55.64206897,2,24.11
Urad,1997,Autumn,32111,8536,1496.6,3056003.87,9954.41,0.233181818,2,24.11
Urad,1997,Summer,2077,480,1496.6,197668.09,643.87,0.277826087,2,24.11
Urad,1997,Winter,118618,38610,1496.6,11288875.06,36771.58,0.261333333,2,24.11
Wheat,1997,Rabi,5162,6360,1496.6,491267.54,1600.22,0.856666667,2,24.11
Groundnut,1998,Autumn,32001,27051,1357.1,3161698.8,9280.29,0.742608696,3,24.99
Groundnut,1998,Summer,45581,39912,1357.1,4503402.8,13218.49,1.031,3,24.99
Groundnut,1998,Winter,5987,5184,1357.1,591515.6,1736.23,0.94,3,24.99
Horse-gram,1998,Summer,528,81,1357.1,52166.4,153.12,0.105714286,3,24.99
Horse-gram,1998,Winter,96407,23838,1357.1,9525011.6,27958.03,0.250666667,3,24.99
Jute,1998,Autumn,5313,41593,1357.1,524924.4,1540.77,6.449090909,3,24.99
Maize,1998,Autumn,50230,65866,1357.1,4962724,14566.7,0.838846154,3,24.99
Maize,1998,Summer,276,240,1357.1,27268.8,80.04,0.94125,3,24.99
Maize,1998,Winter,417,247,1357.1,41199.6,120.93,0.717142857,3,24.99
Moong(Green Gram),1998,Autumn,21845,5123,1357.1,2158286,6335.05,0.174210526,3,24.99
Moong(Green Gram),1998,Summer,92720,22077,1357.1,9160736,26888.8,0.253793103,3,24.99
Moong(Green Gram),1998,Winter,106933,17537,1357.1,10564980.4,31010.57,0.136296296,3,24.99
Potato,1998,Winter,7955,92624,1357.1,785954,2306.95,9.830666667,3,24.99
Ragi,1998,Autumn,41039,27015,1357.1,4054653.2,11901.31,0.408,3,24.99
Ragi,1998,Summer,861,596,1357.1,85066.8,249.69,0.476363636,3,24.99
Ragi,1998,Winter,39112,24271,1357.1,3864265.6,11342.48,0.539047619,3,24.99
Rapeseed &Mustard,1998,Winter,19021,2376,1357.1,1879274.8,5516.09,0.113,3,24.99
